,mean_rain,mean_temp,zone
Nyeri,78.23238330765858,17.445043647709788,0
Meru,71.08547852153325,22.17788745260962,2
Embu,69.50096727535129,22.12694382679363,2
Murang'a,71.14647242199216,18.252126479024952,2
Kericho,127.84062261994069,18.38546642584504,3
Bomet,130.37050667277768,18.408710277084484,3
Nandi,125.0960827902851,18.76548074257553,3
Nyandarua,88.69378505532558,16.86069772998038,0
Kisii,153.1986533495096,21.1020703228911,1
Uasin Gishu,100.26153596369629,18.610284894049034,0
Bungoma,121.66539088287988,18.708202040433296,3
Kakamega,152.7195763121813,20.81762439065871,1
Nakuru,86.18702424010341,15.91532625862988,0
Laikipia,64.14051413867209,19.792512551731182,2
Kitui,51.07716343762989,25.047368207845807,2
Machakos,56.9259783533361,20.40403161311666,2
Makueni,51.455742749707916,22.412337574583578,2
Tharaka-Nithi,71.73708036279656,21.212361139816103,2
West Pokot,66.39426881288234,23.24904105622433,2
Narok,82.69704724733646,18.825123889721535,0
Baringo,76.29348089270947,20.855855289828593,2
